Name,Number,League,Country,Registered,url
Sausage Roller,M14,Arcadia Roller Derby,United Kingdom,"1st January, 1970",http://www.derbyrollcall.com/everyone
James Mean,27,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Yvel Saint Laurent,14,Knights of Oldham Roller Derby & Rainy City Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Pancake,1928,Rainy City Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Robert Quadriguez,101,Crash Test Brummies,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Pete Bog,10,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Sui-cider,7,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Ramona Sours,7XS,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Violentine,2003,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Sir Kit Breaker,7805,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Battered Sausage,#911,London Rollergirls Recreational League,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Pyroclastic Flo,64,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Fish & Whips,12T,,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Nitro Jen,147,Rainy city roller girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Kiki Kapow,19A,Rainy City Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Hunter,1716,Independent,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Jostlin' Belle,,,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Pash 'n' Dash,OU1,blackpool roller derby league,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Station,27,Knights of Oldham Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
the gruffa-low,2004,London Rollergirls Recreational League,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Buckingham Malice,103,The Skateful Dead,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Carly Jane,827,,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
SkullDozer,18,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
TormentHer,855,Rainy city Rollers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Spectra VON Glide,2105,Blackpool Roller Derby League,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Nic Nac Knock,312,Bairn City Rollers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Morgue Anna,8,Rainy City Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Harlot Jo Ransom,999,Rainy City Roller girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Purple Brewser,24,Rainy City Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
PETER PARKED'HER,15,Manchester Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Twisted Innocence,94,Lincolnshire Bombers Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
G Whizz,19,,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Bellastitch Thestrange,,Wirral Whipiteres Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Fifi Nomenon,108,Texas Rollergirls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
sevenbells,8443,wirral whipitiers,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Bella B'Flat,84 bpm,,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Sinister Mary Clarence,27,London Rollergirls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Yoko oh no!,7 13,Blackpool Roller Derby,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
Bonita Reckless,111,Coachella Valley Derby Girls,United States,"20th January, 2014",http://www.derbyrollcall.com/everyone
Nikki Mergency,911,Jersey Shore Roller Girls,United Kingdom,"20th January, 2014",http://www.derbyrollcall.com/everyone
